Name,Ratings,Price,Source,Left_Right_Name,Left_Right_Ratings,Left_Right_Price,Left_Right_Source,Right_Name,Right_Ratings,Right_Price,Right_Source
2 Samsung Galaxy S4 Phones 16GB White Frost Sprint,4.38,140,ebay,"Samsung Galaxy S4 (White Frost, 16 GB)",3.9,29990,Flipkart,Samsung Galaxy S4 White Certified Pre-Owned (AT),3.1,250,Walmart
2 Samsung Galaxy S4 Phones 16GB White Frost Sprint,4.38,140,ebay,"Samsung Galaxy S4 (White Frost, 16 GB)",3.9,29990,Flipkart,"Samsung Galaxy S5 Certified Pre-Owned Smartphone, (AT)",4.25,189,Walmart
ATT SAMSUNG GALAXY S6 32GB BLACK,4.5,350,ebay,"Samsung Galaxy S6 (Black Sapphire, 32 GB)",4.1,33900,Flipkart,SAMSUNG GALAXY S7 32GB,1,229.99,Walmart
ATT SAMSUNG GALAXY S6 32GB BLACK,4.5,350,ebay,"Samsung Galaxy S6 (Blue Topaz, 32 GB)",4.1,32750,Flipkart,SAMSUNG GALAXY S7 32GB,1,229.99,Walmart
ATT SAMSUNG GALAXY S6 32GB BLACK,4.5,350,ebay,"Samsung Galaxy S6 (Gold Platinum, 32 GB)",4.1,33900,Flipkart,SAMSUNG GALAXY S7 32GB,1,229.99,Walmart
ATT SAMSUNG GALAXY S6 32GB BLACK,4.5,350,ebay,"Samsung Galaxy S6 Edge (Black Sapphire, 32 GB)",4,37299,Flipkart,SAMSUNG GALAXY S7 32GB,1,229.99,Walmart
ATT SAMSUNG GALAXY S6 32GB BLACK,4.5,350,ebay,"Samsung Galaxy S6 Edge (Black, 64 GB)",4,39990,Flipkart,SAMSUNG GALAXY S7 32GB,1,229.99,Walmart
ATT SAMSUNG GALAXY S6 32GB BLACK,4.5,350,ebay,"Samsung Galaxy S7 (Black Onyx, 32 GB)",4.4,29990,Flipkart,SAMSUNG GALAXY S7 32GB,1,229.99,Walmart
FAIR Condition Samsung Galaxy S7  - 32GB (Verizon) - GOLD,4.65,226.5,ebay,"Samsung Galaxy S7 (Gold Platinum, 32 GB)",4.4,29990,Flipkart,SAMSUNG GALAXY S7 32GB,1,229.99,Walmart
NEW Samsung Galaxy S7 SM-G930 - 32GB - Black Onyx (Verizon) Smartphone,4.66,247.99,ebay,"Samsung Galaxy S7 (Black Onyx, 32 GB)",4.4,29990,Flipkart,Samsung Galaxy S7 G930V 32GB Black Onyx Verizon Wireless Refurbished,3,224.92,Walmart
New Samsung Galaxy S6 Edge SM-G925V - 32GB - White Pearl (Verizon) Smartphone,4.38,199.99,ebay,"Samsung Galaxy S6 Edge (White Pearl, 32 GB)",4,28490,Flipkart,"AT Samsung Galaxy S6 edge G925A 32GB Smartphone (Unlocked), White",4.545,449.99,Walmart
New listingSamsung Galaxy S8+ - 64GB - Midnight Black (Unlocked) Smartphone,4.72,224.59,ebay,"Samsung Galaxy S8 (Midnight Black, 64 GB)",4.6,49990,Flipkart,"Galaxy Note8 64GB (Unlocked), Midnight Black",4.635,918.74,Walmart
New listingSamsung Galaxy S8+ - 64GB - Midnight Black (Unlocked) Smartphone,4.72,224.59,ebay,"Samsung Galaxy S8 (Midnight Black, 64 GB)",4.6,49990,Flipkart,Samsung Galaxy S8 64GB (Unlocked) - Midnight Black,3.898,599.99,Walmart
New listingSamsung Galaxy S8+ - 64GB - Midnight Black (Unlocked) Smartphone,4.72,224.59,ebay,"Samsung Galaxy S8 (Midnight Black, 64 GB)",4.6,49990,Flipkart,Samsung Galaxy S8+ 64GB (Unlocked) - Midnight Black,4.293,689.99,Walmart
"New listingStraight Talk Samsung Galaxy J3 Luna Pro 16GB Prepaid Smartphone, Black",4.67,22.2,ebay,"Samsung Galaxy J3 Pro (Black, 16 GB)",4.2,7490,Flipkart,Refurbished Straight Talk Samsung Galaxy J3 Sky 4G LTE Prepaid Smartphone with BONUS $45/30-Day Plan,3.75,99.12,Walmart
"New listingStraight Talk Samsung Galaxy J3 Luna Pro 16GB Prepaid Smartphone, Black",4.67,22.2,ebay,"Samsung Galaxy J3 Pro (Black, 16 GB)",4.2,7490,Flipkart,"Straight Talk Samsung Galaxy J3 Luna Pro 16GB Prepaid Smartphone, Black",3.941,59.99,Walmart
"New listingStraight Talk Samsung Galaxy J3 Luna Pro 16GB Prepaid Smartphone, Black",4.67,22.2,ebay,"Samsung Galaxy J3 Pro (Black, 16 GB)",4.2,7490,Flipkart,"Straight Talk Samsung Galaxy J3 Sky 16GB Prepaid Smartphone, Black",2.991,99.99,Walmart
"New listingStraight Talk Samsung Galaxy J3 Luna Pro 16GB Prepaid Smartphone, Black",4.67,22.2,ebay,"Samsung Galaxy J3 Pro (Black, 16 GB)",4.2,7490,Flipkart,"Straight Talk Samsung Galaxy J7 Sky Pro 16GB Prepaid Smartphone, Black",4.441,149.99,Walmart
"New listingStraight Talk Samsung Galaxy J3 Luna Pro 16GB Prepaid Smartphone, Black",4.67,22.2,ebay,"Samsung Galaxy J3 Pro (Black, 16 GB)",4.2,7490,Flipkart,"Total Wireless Samsung Galaxy J3 Luna Pro 16GB Prepaid Smartphone, Black",3.539,79.99,Walmart
"New listingStraight Talk Samsung Galaxy J3 Luna Pro 16GB Prepaid Smartphone, Black",4.67,22.2,ebay,"Samsung Galaxy J3 Pro (Black, 16 GB)",4.2,7490,Flipkart,"Verizon Samsung Galaxy J3 16GB Prepaid Smartphone, Black",4.5,126,Walmart
"New listingStraight Talk Samsung Galaxy J3 Luna Pro 16GB Prepaid Smartphone, Black",4.67,22.2,ebay,"Samsung Galaxy J3 Pro (Black, 16 GB)",4.2,7490,Flipkart,"Walmart Family Mobile Samsung S337 Luna Pro 16 GB Prepaid Smartphone, Black",3.286,79.99,Walmart
SAMSUNG GALAXY J7 PRIME 32GB Black (METRO PCS) Smartphone  new open box,4.25,139.99,ebay,"Samsung Galaxy J7 Prime (Black, 32 GB)",4.2,13400,Flipkart,Samsung Galaxy J7 Prime G610M Unlocked GSM Phone w/ 13MP Camera - Black,3.333,229.99,Walmart
SAMSUNG GALAXY J7 PRIME 32GB Black (METRO PCS) Smartphone  new open box,4.25,139.99,ebay,"Samsung Galaxy J7 Prime (Black, 32 GB)",4.2,13400,Flipkart,"Samsung Galaxy S7 Unlocked 32GB GSM and CDMA Smartphone, Black Onyx",4.205,548.52,Walmart
SAMSUNG Galaxy S7 SM-G930 - 32GB - Black Onyx (UNLOCKED) Smartphone,4.6,265,ebay,"Samsung Galaxy S7 (Black Onyx, 32 GB)",4.4,29990,Flipkart,Samsung Galaxy S4 I337 16GB 4G LTE AT Unlocked GSM Android Phone - White,4.377,167.17,Walmart
SAMSUNG Galaxy S7 SM-G930 - 32GB - Black Onyx (UNLOCKED) Smartphone,4.6,265,ebay,"Samsung Galaxy S7 (Black Onyx, 32 GB)",4.4,29990,Flipkart,Samsung Galaxy S7 G930V 32GB Black Onyx Verizon Wireless Refurbished,3,224.92,Walmart
SAMSUNG Galaxy S7 SM-G930 - 32GB - Black Onyx (UNLOCKED) Smartphone,4.6,265,ebay,"Samsung Galaxy S7 (Black Onyx, 32 GB)",4.4,29990,Flipkart,"Samsung Galaxy S7 Unlocked 32GB GSM and CDMA Smartphone, Black Onyx",4.205,548.52,Walmart
SAMSUNG Galaxy S7 SM-G930 - 32GB - Black Onyx (Unlocked) Smartphone,4.6,199.98,ebay,"Samsung Galaxy S7 (Black Onyx, 32 GB)",4.4,29990,Flipkart,Samsung Galaxy S4 I337 16GB 4G LTE AT Unlocked GSM Android Phone - White,4.377,167.17,Walmart
SAMSUNG Galaxy S7 SM-G930 - 32GB - Black Onyx (Unlocked) Smartphone,4.6,199.98,ebay,"Samsung Galaxy S7 (Black Onyx, 32 GB)",4.4,29990,Flipkart,Samsung Galaxy S7 G930V 32GB Black Onyx Verizon Wireless Refurbished,3,224.92,Walmart
SAMSUNG Galaxy S7 SM-G930 - 32GB - Black Onyx (Unlocked) Smartphone,4.6,199.98,ebay,"Samsung Galaxy S7 (Black Onyx, 32 GB)",4.4,29990,Flipkart,"Samsung Galaxy S7 Unlocked 32GB GSM and CDMA Smartphone, Black Onyx",4.205,548.52,Walmart
SAMSUNG Galaxy S7 SM-G930 - 32GB - Gold Platinum (T-Mobile) Smartphone,4.56,50,ebay,"Samsung Galaxy S7 (Gold Platinum, 32 GB)",4.4,29990,Flipkart,Samsung Galaxy S4 I337 16GB 4G LTE AT Unlocked GSM Android Phone - White,4.377,167.17,Walmart
SAMSUNG Galaxy S7 SM-G930U - 32GB - Black Onyx (Unlocked) Smartphone,4.6,200,ebay,"Samsung Galaxy S7 (Black Onyx, 32 GB)",4.4,29990,Flipkart,Samsung Galaxy S4 I337 16GB 4G LTE AT Unlocked GSM Android Phone - White,4.377,167.17,Walmart
SAMSUNG Galaxy S7 SM-G930U - 32GB - Black Onyx (Unlocked) Smartphone,4.6,200,ebay,"Samsung Galaxy S7 (Black Onyx, 32 GB)",4.4,29990,Flipkart,Samsung Galaxy S7 G930V 32GB Black Onyx Verizon Wireless Refurbished,3,224.92,Walmart
SAMSUNG Galaxy S7 SM-G930U - 32GB - Black Onyx (Unlocked) Smartphone,4.6,200,ebay,"Samsung Galaxy S7 (Black Onyx, 32 GB)",4.4,29990,Flipkart,"Samsung Galaxy S7 Unlocked 32GB GSM and CDMA Smartphone, Black Onyx",4.205,548.52,Walmart
Samsung - Galaxy S7 32GB - Black Onyx (AT&T),4.67,229,ebay,"Samsung Galaxy A5-2017 (Black Sky, 32 GB)",4.1,22900,Flipkart,SAMSUNG GALAXY S7 32GB,1,229.99,Walmart
Samsung - Galaxy S7 32GB - Black Onyx (AT&T),4.67,229,ebay,"Samsung Galaxy A7-2017 (Black Sky, 32 GB)",3.9,25900,Flipkart,SAMSUNG GALAXY S7 32GB,1,229.99,Walmart
Samsung - Galaxy S7 32GB - Black Onyx (AT&T),4.67,229,ebay,"Samsung Galaxy A9 Pro (Black, 32 GB)",4.3,18990,Flipkart,SAMSUNG GALAXY S7 32GB,1,229.99,Walmart
