,Name,Ratings,Price
0,Dell Inspiron Core i3 6th Gen - (4 GB/1 TB HDD/Linux) 3467 Laptop,4.1,"₹25,990"
1,HP 15 Core i5 8th Gen - (8 GB/1 TB HDD/DOS) 15-BS145TU Laptop,4.2,"₹38,990"
2,Lenovo Ideapad Core i5 7th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) IP 320 Laptop,4.3,"₹44,990"
3,HP 15 Pentium Quad Core - (4 GB/1 TB HDD/DOS) 15Q-BU009TU Laptop,4.1,"₹21,990"
4,Lenovo Core i5 7th Gen - (8 GB/1 TB HDD/DOS/2 GB Graphics) IP 320E Laptop,4.3,"₹40,990"
5,Lenovo Ideapad Core i3 6th Gen - (4 GB/1 TB HDD/DOS) IP 320E Laptop,4.1,"₹25,990"
6,HP 15 Core i3 6th Gen - (4 GB/1 TB HDD/Windows 10 Home) 15Q-bu013TU Laptop,4.1,"₹29,990"
7,Dell Inspiron 14 3000 Core i3 6th Gen - (4 GB/1 TB HDD/Windows 10 Home) 3467 Laptop,4.1,"₹29,990"
8,Lenovo Core i3 6th Gen - (4 GB/1 TB HDD/Windows 10 Home) IP 320E Laptop,4.1,"₹29,990"
9,HP 15 Core i3 6th Gen - (8 GB/1 TB HDD/DOS) 15Q-BU006TU Laptop,4.2,"₹30,990"
10,Acer Aspire 3 Celeron Dual Core - (2 GB/500 GB HDD/Linux) A315-31 Laptop,3.9,"₹15,990"
11,HP APU Dual Core A9 - (4 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) 15q-by002AX Laptop,3.8,"₹24,990"
12,HP 15 Core i3 6th Gen - (4 GB/1 TB HDD/DOS) 15Q-BU007TU Laptop,4.2,"₹26,990"
13,Dell Inspiron APU Dual Core A9 7th Gen - (6 GB/1 TB HDD/Windows 10 Home) 3565 Laptop,3.9,"₹28,990"
14,Lenovo APU Dual Core A9 7th Gen - (4 GB/1 TB HDD/DOS) IP 320E Laptop,3.7,"₹21,990"
15,HP 15 APU Dual Core E2 - (4 GB/500 GB HDD/DOS) 15Q-BY001AU Laptop,3.6,"₹17,990"
16,Lenovo APU Dual Core A9 6th Gen - (4 GB/1 TB HDD/Windows 10 Home) Yoga 510 2 in 1 Laptop,4.0,"₹27,990"
17,MSI GL Series Core i7 7th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics) GL62M 7RDX-2680IN Gaming...,4.7,"₹67,990"
18,Lenovo Ideapad Core i3 7th Gen - (4 GB/1 TB HDD/Windows 10 Home) IP 320S Laptop,4.2,"₹34,990"
19,MSI GL Series Core i7 7th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics) GL62M 7REX-26...,4.8,"₹77,990"
20,Dell Vostro 3000 Core i5 7th Gen - (8 GB/1 TB HDD/Ubuntu/2 GB Graphics) 3568 Laptop,4.2,"₹40,990"
21,Acer Nitro 5 Core i5 7th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/2 GB Graphics) AN515-51 Gamin...,4.6,"₹63,990"
22,Acer Nitro 5 Core i5 7th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) AN515-51 Gaming Laptop,4.3,"₹57,990"
23,Lenovo Pentium Quad Core - (4 GB/500 GB HDD/Windows 10 Home) IP 110 Laptop,4.0,"₹20,990"
24,Lenovo Ideapad Core i7 7th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) IP 320E Laptop,4.1,"₹52,990"
25,Dell Inspiron Core i5 7th Gen - (4 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) 3567 Notebook,3.9,"₹39,990"
26,Asus FX503 Core i7 7th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics) FX503VD-DM111T Gaming Lapto...,4.1,"₹72,990"
27,Lenovo Ideapad Core i3 6th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) IP 320 Laptop,4.1,"₹37,990"
28,Acer Core i5 7th Gen - (8 GB/1 TB HDD/Linux) E5 - 575 Laptop,4.1,"₹35,990"
29,Dell Inspiron Pentium Quad Core - (4 GB/500 GB HDD/Ubuntu) 3552 Notebook,4.1,"₹19,990"
30,Dell Inspiron APU Dual Core A6 7th Gen - (4 GB/500 GB HDD/Ubuntu) 3565 Laptop,3.6,"₹20,990"
31,HP APU Quad Core A8 - (4 GB/1 TB HDD/Windows 10 Home) 15-BG004AU Laptop,4.0,"₹25,990"
32,Asus APU Dual Core E1 - (4 GB/500 GB HDD/Windows 10 Home) X540YA-XO547T Laptop,3.7,"₹17,990"
33,Acer Switch One Atom Quad Core - (2 GB/32 GB EMMC Storage/Windows 10 Home) SW110-1CT 2 in 1 Laptop,3.9,"₹12,490"
34,Iball Atom 7th Gen - (4 GB/32 GB HDD/Windows 10 Home) Exemplaire+ Laptop,4.0,"₹13,999"
35,HP Envy Core i5 8th Gen - (8 GB/256 GB SSD/Windows 10 Home) 13-ad125TU Thin and Light Laptop,4.4,"₹67,990"
36,Apple MacBook Air Core i5 5th Gen - (8 GB/128 GB SSD/Mac OS Sierra) MQD32HN/A A1466,4.7,"₹57,990"
37,Lenovo Core i7 7th Gen - (8 GB/2 TB HDD/Windows 10 Home/4 GB Graphics) IP 520 Laptop,4.3,"₹61,990"
38,Dell Inspiron 15 5000 Core i3 6th Gen - (4 GB/1 TB HDD/Windows 10 Home) 5567 Laptop,3.7,"₹31,990"
39,Dell Inspiron 15 3000 Series Core i5 7th Gen - (4 GB/1 TB HDD/Ubuntu/2 GB Graphics) 3567 Laptop,3.9,"₹36,990"
40,Lenovo Ideapad Core i3 6th Gen - (4 GB/1 TB HDD/DOS) IP 320E-15ISK Laptop,4.1,"₹25,990"
41,Acer Nitro 5 Core i5 7th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics) AN515-51 Gamin...,4.3,"₹69,990"
42,Asus VivoBook S14 Core i5 8th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home) S410UA-EB267T Thin and ...,4.6,"₹59,990"
43,Lenovo Ideapad Core i5 7th Gen - (8 GB/2 TB HDD/DOS/2 GB Graphics) IP 320E-15IKB Laptop,4.1,"₹44,990"
44,Lenovo Ideapad Core i3 6th Gen - (4 GB/1 TB HDD/DOS/2 GB Graphics) IP 320 Laptop,4.4,"₹32,490"
45,Lenovo APU Dual Core A6 7th Gen - (4 GB/1 TB HDD/DOS) IP 320E Notebook,3.5,"₹19,990"
46,Lenovo IdeaPad Pentium Quad Core - (4 GB/1 TB HDD/DOS) 110-15IBR Laptop,3.5,"₹19,990"
47,Dell Inspiron APU Dual Core E2 - (4 GB/500 GB HDD/Linux) 3565 Laptop,3.6,"₹19,990"
48,Lenovo Ideapad Core i5 7th Gen - (4 GB/1 TB HDD/Windows 10 Home) IP 320E-15IKB Laptop,4.4,"₹38,990"
49,Asus EeeBook APU Quad Core E2 - (4 GB/500 GB HDD/Windows 10 Home) E402WA-GA001T Laptop,3.8,"₹19,490"
50,Dell Insprion Core i7 7th Gen - (8 GB/1 TB HDD/Windows 10/2 GB Graphics) 3567 Laptop,4.0,"₹51,990"
51,HP 14 Core i3 6th Gen - (4 GB/1 TB HDD/DOS) 14q-BU012TU Laptop,3.9,"₹25,990"
52,HP Core i5 7th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics) 15-au623tx Laptop,4.3,"₹53,990"
53,Acer Aspire 3 Celeron Dual Core - (2 GB/500 GB HDD/Windows 10) A315-31 Laptop,3.9,"₹17,990"
54,Lenovo Yoga 510 Core i3 6th Gen - (4 GB/1 TB HDD/Windows 10 Home) Yoga 510 2 in 1 Laptop,4.1,"₹38,990"
55,Acer Aspire 3 Pentium Quad Core - (4 GB/500 GB HDD/Linux) A315-31 Laptop,4.1,"₹18,990"
