,Name,Ratings,Price
2048,"""11.6"""" Chromebook, 4GB Memory, 32 Hard Drive, Bluetooth 4.0, 1.0MHD WebCam - Blue""",4.044,189.0
1174,"""11.6"""" Convertible Touchscreen Laptop, Windows 10 Home, Office 365 Personal 1-Year Subscription Included ($69.99 Value), Intel Processor, 32GB storage, Front camera with 8 hour battery""",2.444,129.0
1798,"""12.5"""" Ultra Slim Laptop, Windows 10 Home, Office 365 Personal 1-Year Subscription Included ($69.99 Value), Intel Processor, 32GB storage, Front camera with 10 hour battery""",1.769,109.0
2099,"""13.3"""" Convertible Touchscreen Laptop, Windows 10 Home, Office 365 Personal 1-Year Subscription Included ($69.99 Value), Windows Hello (Fingerprint Reader), Windows Ink (Smart Stylus included)""",2.0,199.0
374,"""14"""" Full HD IPS screen Laptop, Ultra-Slim Laptop, Windows 10, Intel Atom Quad Core Processor, 2GB RAM, 32GB Flash Storage with a Carry Case included""",2.838,199.0
948,"""14"""" Ultra Slim Laptop, Windows 10 Home, Office 365 Personal 1-Year Subscription Included ($69.99 Value), Full HD, Intel Processor, 32GB storage, Front camera with 10 hour battery""",2.3,119.0
2474,"""ASUS X540SA 15.6"""" Laptop, Windows 10, Intel Pentium N3710 Processor, 4GB RAM, 1TB Hard Drive""",3.342,239.0
1223,"""Acer Aspire A315-51-51SL, 15.6"""" HD Laptop, 7th Gen Intel Core i5-7200U, 6GB DDR4, 1TB HDD, Windows 10 Home""",3.923,429.0
3724,"""Acer Aspire E15 E5-522-89W6 15.6"""" Laptop Bundle, Windows 10 Home, AMD A8-7410 Processor, 4GB RAM, 500GB Hard Drive""",3.581,285.38
3249,"""Acer Aspire E5-575-72N3, 15.6"""" Full HD, 7th Gen Intel Core i7-7500U, 8GB DDR4, 1TB HDD, Windows 10 Home""",4.087,569.0
1574,"""Acer Aspire ES 15 Series ES1-572-3729 15.6"""" Laptop, Windows 10 Home, Intel Core i3-7100U Processor, 6GB RAM, 1TB Hard Drive""",3.0,349.0
22,"""Acer CB3-532-C47C 15.6"""" Chromebook, Chrome OS, Intel Celeron N3060 Dual-Core Processor, 2GB RAM, 16GB Internal Storage""",4.057,199.0
2549,"""Acer Chromebook R11 CB5-132T-C67Q Touch screen Chromebook with Intel Celeron N3060 Processor, 11.6"""" IPS Multitouch screen 4GB Memory, 32GB SSD and Google Chrome OS""",4.875,279.0
3374,"""Acer Denim White 11.6"""" CB3-131-C3SZ Chromebook 11 PC with Intel Celeron N2840 Dual-Core Processor, 2GB Memory, 16GB Flash Storage and Google Chrome""",3.375,170.19
1199,"""Acer Swift 1 SF113-31-P5CK 13.3"""" Ultra-Thin Laptop , Intel Pentium N4200 Processor, 4GB RAM, 64GB Storage Drive & 13.3” Full HD Widescreen Display""",4.563,319.0
1774,"""Acer Nitro 5 Gaming laptop, 15.6"""" FHD Screen, Intel Core i7-7700HQ, GeForce GTX 1050Ti Graphic card, 16GB DDR4 Memory, 256GB SSD+ 1TB HDD, Windows 10 Home, AN515-51-70V4""",5.0,1154.41
3148,"""Apple MacBook A1342 13.3"""" Laptop (Intel Core 2 Duo 2.26Ghz, 250GB Hard Drive,2gb RAM, DVDRW Drive, OS X 10.6.1""",1.0,194.99
2861,"""Apple MacBook Pro 13.3"""" Intel Dual Core i5 2.5GHz 4GB 500GB Laptop - MD101LLA""",3.462,599.99
1799,"""Apple Macbook 12"""" Retina Display Intel Core m3, 8GB Memory, 256GB Flash Storage - Gold (Certified Refurbished)""",5.0,889.0
8,"""Dell - Inspiron 11.6"""" Laptop - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Bali blue""",3.456,178.99
3799,"""Dell - Inspiron 15"""" Laptop - AMD A10 - 12GB Memory- 1TB HD - Grey""",3.327,449.0
17,"""Dell - Inspiron 15.6"""" Laptop - AMD A9-- 8GB - AMD Radeon R5 Graphics - 1TB HD - Red""",3.575,399.0
824,"""Dell - Inspiron 2-in-1 11.6"""" Touch-Screen Laptop - Intel Pentium - 4GB Memory - 500GB HD - Red""",3.542,319.0
899,"""Dell 15.6"""" 4k Ultra HD Touch Screen Laptop, Intel Core i7-6700hq, Nvidia GeForce GTX 960M 4GB DDR5 Graphic Card, 16GB DDR3L Memory, 1TB HD +128GB SSD, Windows 10 Home, i7559-7514gry""",3.848,1098.0
1599,"""Dell Alienware 15 R3 15.6"""" Laptop, Windows 10 Home, Intel Core i7-7700HQ Processor, 16GB RAM, 1TB Hard Drive, 256GB Solid State Drive""",3.8,1806.0
1573,"""Dell Alienware 17 R4 17.3"""" Laptop, Windows 10 Home, Intel Core i7-7700HQ Processor, 16GB RAM, 1TB Hard Drive""",2.818,1749.0
249,"""Dell Black 15.6"""" Inspiron i3552 Laptop PC with Intel Celeron N3050 Processor, 4GB Memory, 500GB Hard Drive and Windows 10 Home""",3.71,349.0
574,"""Dell Inspiron 11 3168 11.6"""" Laptop, Touchscreen, 2-in-1, Windows 10 Home, Intel Celeron N3060 Processor, 2GB Memory, 32GB eMMC Storage""",3.533,199.0
3749,"""Dell Inspiron 15 5000 i5567 15.6"""" Laptop, Windows 10 Home, Intel Core i5-7200U Processor, 8GB RAM, 1TB Hard Drive""",3.781,499.0
724,"""Dell Inspiron 15 Gaming Edition Black 15.6"""" 7559 Laptop PC with Intel Core i7-6700HQ Processor, 8GB Memory, 1TB Hybrid Hard Drive and Windows 10 Home""",3.92,799.0
949,"""Dell Inspiron 17 5000 i5767 17.3"""" Laptop, Windows 10 Home, Intel Core i7-7500U Processor, 8GB RAM, 1TB Hard Drive""",3.758,749.0
