,name,salePrice,customerRating
0,"""HP Stream 14"""" Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage""",219.0,3.568
1,"""HP 15-ay039wm 15.6"""" Silver Fusion Laptop, Windows 10, Intel Core i3-6100U Processor, 8GB Memory, 1TB Hard Drive""",468.0,4.051
2,"""HP Silver Iridium 15.6"""" Laptop, Touchscreen, Intel Core i7-7500u, Intel HD Graphic 620 Graphic Card, 12GB Memory, 1TB HD, Windows 10 Home, 15-cc060wm""",699.0,3.875
3,"""HP Stream 14"""" Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage""",199.0,3.099
4,"""HP Black 15.6"""" 15-f233wm Laptop PC with Intel Celeron N3050 Processor, 4GB Memory, 500GB Hard Drive and Windows 10 Home""",279.0,3.268
5,"""Lenovo ideapad 320 15.6"""" Laptop, Windows 10, Intel Celeron N3350 Dual-Core Processor, 4GB RAM, 1TB Hard Drive""",229.0,3.514
6,"""HP Flyer Red 15.6"""" 15-f272wm Laptop PC with Intel Pentium N3540 Processor, 4GB Memory, 500GB Hard Drive and Windows 10 Home""",299.0,3.721
7,"""HP Silver Iridium Ci5 15-cc050wm 15.6"""" Laptop, Touchscreen, Windows 10 Home, Intel Core i5-7200U Processor, 12GB Memory, 1TB Hard Drive""",569.0,4.5
8,"""Dell - Inspiron 11.6"""" Laptop - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Bali blue""",178.99,3.456
9,"""Refurbished HP 11-v010wm 11.6"""" Chromebook, Chrome, Intel Celeron N3060 Processor, 4GB RAM, 16GB eMMC Drive""",129.0,4.444
10,"Lenovo ideapad 320 15.6 Laptop, Windows 10, Intel Celeron N3350 Dual-Core Processor, 4GB RAM, 1TB Hard Drive – Platinum Grey",269.0,2.522
11,"""Refurbished HP Stream 11.6"""" Laptop, Windows 10 Home, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage""",139.0,3.567
12,"""HP Stream 11.6"""" Laptop, Windows 10 Home, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage, Refurbished""",119.0,3.35
13,"""HP Black Licorice 15.6"""" 15-F387WM Laptop PC with AMD A8-7410 Processor, 4GB Memory, touch screen, 500GB Hard Drive and Windows 10 Home""",329.0,3.797
14,"""HP 15-bs020WM, 15.6"""" Touch Laptop, Windows 10, Intel Pentium N3710 Quad Core Processor, 4GB Memory, 500GB Hard Drive, DVD""",323.0,3.182
15,"""HP Stream 14-ax067nr 14"""" Laptop, Windows 10 Home, Intel Celeron N3060 Dual-Core Processor, 4GB RAM, 32GB Flash Storage""",219.99,4.0
16,"""HP Flyer Red 15.6"""" 15-f272wm Laptop PC with Intel Pentium N3540 Processor, 4GB Memory, 500GB Hard Drive and Windows 10 Home""",299.0,4.27
17,"""Dell - Inspiron 15.6"""" Laptop - AMD A9-- 8GB - AMD Radeon R5 Graphics - 1TB HD - Red""",399.0,3.575
18,"""HP Stream 11.6"""" Laptop, Windows 10 Home, Office 365 Personal 1-year subscription included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage""",199.0,3.508
19,"""HP 15-BA015WM,15.6"""" Laptop, Windows 10, AMD E2-7110 Quad Core Processor, 4GB Memory, 500GB Hard Drive, DVD""",296.0,3.294
20,"""HP 15-ay041wm 15.6"""" Silver Fusion Laptop, Touch Screen, Windows 10, Intel Core i3-6100U Processor, 8GB Memory, 1TB Hard Drive""",483.0,3.955
21,"""HP Jaguar 15-bs070wm, 15.6"""" Natural Silver Touch Laptop, Windows 10, Intel Core i5-7200U Processor, 8GB Memory, 1TB Hard Drive""",489.0,4.556
22,"""Acer CB3-532-C47C 15.6"""" Chromebook, Chrome OS, Intel Celeron N3060 Dual-Core Processor, 2GB RAM, 16GB Internal Storage""",199.0,4.057
